,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Verified Standard ID - City/Town ID,Property Name,Address 1,City,County,State/Province,Postal Code,Year Built,Applicability,Applicability Details,Property Type ,Property GFA - Calculated (Buildings) (ft²),Estimated GFA (ft²),Latitude,Longitude
100002,1004 Cudahy Pl,1004 Cudahy Pl,San Diego,San Diego,CA,92110-3929,1960,Subject to Ordinance,,Commercial,50000,50000,32.76606,-117.20255
100004,101 16th St,101 16th St,San Diego,San Diego,CA,92101-7601,1927,Subject to Ordinance,,Commercial,65000,65000,32.70684,-117.14898
100005,Ralphs,101 G St,San Diego,San Diego,CA,92101,1996,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Supermarket/Grocery Store,43318,43318,32.71203,-117.16333
100006,1011 Camino Del Rio S,1011 Camino Del Rio S,San Diego,San Diego,CA,92108,1984,Subject to Ordinance,,Office,61517,61518,32.76378,-117.15432
100008,10120 Pacific Heights Blvd,10120 Pacific Heights Blvd,San Diego,San Diego,CA,92121-4205,1992,Subject to Ordinance,,Commercial,52540,52540,32.90178,-117.19473
100009,10121 Barnes Canyon,10121 Barnes Canyon,San Diego,San Diego,CA,92121-2725,1984,Subject to Ordinance,,Office,67015,53512,32.8986,-117.19855
100011,10150 Meanley Dr,10150 Meanley Dr,San Diego,San Diego,CA,92131,2001,Subject to Ordinance,,Commercial,60850,60850,32.90966,-117.10721
100012,0657-San Diego (Rancho Penasquitos),10185 Paseo Montril,San Diego,San Diego,CA,92129,1987,Subject to Ordinance,,Hotel,55260,60471,32.95049,-117.10639
100013,The Hub Hillcrest Market,1020 University Ave,San Diego,San Diego,CA,92103,1989,Subject to Ordinance,,Supermarket/Grocery Store,54467,54467,32.74871,-117.15448
100017,BMR-10255 Science Center LP,10255 Science Center Dr,San Diego,San Diego,CA,92121,2004,Subject to Ordinance,,Laboratory,54608,56000,32.88999,-117.23141
100018,10256 Meanley Dr,10256 Meanley Dr,San Diego,San Diego,CA,92131-3009,2001,Subject to Ordinance,,Office,54664,54664,32.91041,-117.1068
100019,1026 5th Ave,1026 5th Ave,San Diego,San Diego,CA,92101,2003,Subject to Ordinance,,Commercial,53496,53496,32.71613,-117.16043
100700,Qualcomm Building S,5535 Morehouse Dr,San Diego,San Diego,CA,92121-1710,1986,Subject to Ordinance,,R&D,99999,99999,32.89448,-117.19569
100701,5545 Morehouse Dr,5545 Morehouse Dr,San Diego,San Diego,CA,92121-1710,1985,Subject to Ordinance,,Light Distribution,81002,81002,32.89608,-117.1956
100022,10309 Pacific Center Ct,10309 Pacific Center Ct,San Diego,San Diego,CA,92121-4340,1980,Subject to Ordinance,,Commercial,50291,50291,32.90496,-117.18792
100194,3880 Nobel Dr,3880 Nobel Dr,San Diego,San Diego,CA,92122-5700,2021,Subject to Ordinance,,Senior Living Communtiy,64000,64000,32.86924,-117.22378
100025,10350 Science Center Dr,10350 Science Center Dr,San Diego,San Diego,CA,92121-1129,1997,Subject to Ordinance,,Office,60285,60000,32.89295,-117.23164
100186,3750 Convoy St,3750 Convoy St,San Diego,San Diego,CA,92111-3738,1984,Subject to Ordinance,,Medical Office,62286,62286,32.81201,-117.15392
100187,3760 Convoy St,3760 Convoy St,San Diego,San Diego,CA,92111-3742,1984,Subject to Ordinance,,Office,64147,64147,32.81237,-117.1534
100028,StorQuest - San Diego / Sherman,1040 Sherman St,San Diego,San Diego,CA,92110,2004,Subject to Ordinance,,Self-Storage Facility,67480,51342,32.76569,-117.19943
100029,BMR-Wateridge Pointe-10421,10421 Wateridge Circle,San Diego,San Diego,CA,92121-5781,1998,Subject to Ordinance,,Office,63435,61276,32.89926,-117.20756
100030,BMR-Wateridge Pointe-10431,10431 Wateridge Circle,San Diego,San Diego,CA,92121-5774,1998,Subject to Ordinance,,Office,64824,64148,32.90013,-117.20821
100032,10505 Sorrento Valley Rd,10505 Sorrento Valley Rd,San Diego,San Diego,CA,92121,1982,Subject to Ordinance,,Other,54094,54094,32.89581,-117.21715
100033,105-171 14th St,105-171 14th St,San Diego,San Diego,CA,92101-7523,1924/2007,Subject to Ordinance,,Office,55586,55586,32.70661,-117.1516
100035,Qualcomm A,10555 Sorrento Valley Rd,San Diego,San Diego,CA,92121,1983,Subject to Ordinance,,Office,62868,62424,32.89731,-117.21851
100036,10618 Science Center Dr,10618 Science Center Dr,San Diego,San Diego,CA,92121,2010,Subject to Ordinance,,Laboratory,59248,59248,32.89733,-117.23173
100037,Scripps Research Auditorium,10620 John Jay Hopkins Dr,San Diego,San Diego,CA,92121,1995,Subject to Ordinance,,Commercial,52302,52302,32.89446,-117.240445
100038,10637 Scripps Summit Ct,10637 Scripps Summit Ct,San Diego,San Diego,CA,92131-3961,2001,Subject to Ordinance,,Commercial,60351,60351,32.94056,-117.09863
100192,3870 Murphy Canyon Rd,3870 Murphy Canyon Rd,San Diego,San Diego,CA,92123-4446,1988,Subject to Ordinance,,Office,55015,55015,32.81415,-117.11743
100040,xmirame1 - Mira Mesa Marketplace East,10643 Westview Parkway,San Diego,San Diego,CA,92126,2000,Subject to Ordinance,,Strip Mall,249060,52474,32.91475,-117.11983
100193,3880 Murphy Canyon Rd,3880 Murphy Canyon Rd,San Diego,San Diego,CA,92123-4403,1988,Subject to Ordinance,,Office,51841,51841,32.81432,-117.11758
100042,MMM West Inc,10740 Westview Pkwy,San Diego,San Diego,CA,92126,2000,Subject to Ordinance,,Commercial,55489,55489,32.91549,-117.12228
100143,2375 Northside Dr,2375 Northside Dr,San Diego,San Diego,CA,92108-2703,1991,Subject to Ordinance,,Office,51516,51516,32.78382,-117.12711
100581,2365 Northside Dr,2365 Northside Dr,San Diego,San Diego,CA,92108-2709,1991,Subject to Ordinance,,Office,96437,96436,32.78396,-117.12716
100047,10946 Willow Ct,10946 Willow Ct,San Diego,San Diego,CA,92127-2411,1991,Subject to Ordinance,,Manufacturing/ Industrial/ Lab,59422,62552,33.01257,-117.09832
100048,Pacific Plaza A (Torrey Plaza),10955 Vista Sorrento Pkwy,San Diego,San Diego,CA,92130-8699,2002,Subject to Ordinance,,Laboratory,60253,57973,32.91578,-117.22897
100049,1100 5th Ave,1100 5th Ave,San Diego,San Diego,CA,92101-5104,1931,Subject to Ordinance,,Commercial,63200,63200,32.71708,-117.16044
100050,SND - San Diego 18 (SND18),11020 Via Frontera,San Diego,San Diego,CA,92127,2007,Subject to Ordinance,,Office,54122,54008,33.01263,-117.09246
100051,Rancho Bernardo Distribution Center,11055 Technology Pl,San Diego,San Diego,CA,92127-1878,1990,Subject to Ordinance,,Distribution Center,58575 ,58575 ,33.00837,-117.09158
100052,11077 N Torrey Pines Rd,11077 N Torrey Pines Rd,La Jolla,San Diego,CA,92121,1981,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,R&D,57237,57237,32.90681,-117.24283
100053,WorldMark San Diego,1110 A St,San Diego,San Diego,CA,92101,1990,Subject to Ordinance,,Hotel,52000,52000,32.71914,-117.15409
100054,1132 Prospect St,1132 Prospect St,La Jolla,San Diego,CA,92037-4533,1926/2018,Subject to Ordinance,,Commercial,50000,50000,32.84856,-117.27371
100055,Bldg 2 - 11501 RB Rd,11501 Rancho Bernardo Rd,San Diego,San Diego,CA,92127-1406,1981,Subject to Ordinance,,Laboratory,52855,52855,33.02381,-117.0845
100056,Torrey Reserve - South CtII,11512 El Camino Real,San Diego,San Diego,CA,92130-2087,1996,Subject to Ordinance,,Office,56663,55315,32.92762,-117.23905
100057,11526 Sorrento Valley Rd,11526 Sorrento Valley Rd,San Diego,San Diego,CA,92121-1346,1976,Subject to Ordinance,,Commercial,57143,57143,32.9112,-117.23168
100058,1155 Coast Blvd,1155 Coast Blvd,La Jolla,San Diego,CA,92037-4199,1959,Subject to Ordinance,,Commercial,50000,50000,32.84954,-117.27335
