OID_,FacilityType,FacilityNumber,FacilityName,Licensee,FacilityEmail,FacilityAdministrator,FacilityTelephoneNumber,FacilityAddress,FacilityCity,FacilityState,FacilityZip,CountyName,RegionalOffice,FacilityCapacity,FacilityStatus,LicenseFirstDate,ClosedDate,LastVisitDate,InspectionVisits,ComplaintVisits,OtherVisits,TotalVisits,InspectTypeA,InspectTypeB,OtherTypeA,OtherTypeB,POINT_X,POINT_Y
1,ADULT RESIDENTIAL,370800181.000000000000000,SOMERMONT FAMILY HOME,"KINNAIRD, SUSAN",,"KINNAIRD, SUSAN",(619) 448-8744,1393 SOMERMONT DRIVE,EL CAJON,CA,92021.000000000000000,SAN DIEGO,8.000000000000000,2.000000000000000,CLOSED,2/1/1974 0:00:00,6/9/2022 0:00:00,6/9/2022 0:00:00,1.000000000000000,0.000000000000000,1.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6348207.000000000000000,1880867.000000000000000
2,ADULT DAY PROGRAM,370800930.000000000000000,ST MADELEINE SOPHIES CENTER,"ST MADELEINE SOPHIES TRAINING CTR, INC",,DEBRA EMERSON,(619) 442-5129,2119 E. MADISON AVENUE,EL CAJON,CA,92019.000000000000000,SAN DIEGO,8.000000000000000,400.000000000000000,LICENSED,7/24/1993 0:00:00,,10/8/2025 0:00:00,5.000000000000000,4.000000000000000,18.000000000000000,27.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,6361575.000000000000000,1872245.000000000000000
3,ADULT RESIDENTIAL,370801401.000000000000000,ORANGE WOOD MANOR,JO-VON ENTERPRISES,,DEBORAH ALVARADO,(619) 440-0121,1202 SOUTH ORANGE,EL CAJON,CA,92020.000000000000000,SAN DIEGO,8.000000000000000,49.000000000000000,CLOSED,8/23/1983 0:00:00,2/24/2025 0:00:00,7/24/2025 0:00:00,4.000000000000000,23.000000000000000,4.000000000000000,31.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,6342143.000000000000000,1863988.000000000000000
4,ADULT RESIDENTIAL,370801730.000000000000000,BENEDICT GUEST HOME,"BENEDICT, GEORGE & RAINEY D.",,"DIAZ, DIANA",(619) 466-3454,1728 DAYTON DRIVE,LEMON GROVE,CA,91945.000000000000000,SAN DIEGO,8.000000000000000,15.000000000000000,CLOSED,11/1/1993 0:00:00,1/14/2025 0:00:00,12/16/2025 0:00:00,4.000000000000000,3.000000000000000,16.000000000000000,23.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6321269.000000000000000,1844376.000000000000000
5,ADULT RESIDENTIAL,370801896.000000000000000,VOA - TROY CENTER FOR SUPPORTIVE LIVING,"VOLUNTEERS OF AMERICA, THE",,NICHOLAS FIERRO,(619) 465-8792,8627 TROY STREET,SPRING VALLEY,CA,91977.000000000000000,SAN DIEGO,8.000000000000000,40.000000000000000,CLOSED,10/19/1993 0:00:00,8/30/2024 0:00:00,10/15/2025 0:00:00,3.000000000000000,24.000000000000000,16.000000000000000,43.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,6326809.000000000000000,1848438.000000000000000
6,ADULT RESIDENTIAL,370801951.000000000000000,CAVELARIS COMMUNITY CARE CENTER,"CAVELARIS, NANA",,ARLENE DOULOPOULOS,(619) 466-6759,9975 SAN JUAN STREET,SPRING VALLEY,CA,91977.000000000000000,SAN DIEGO,8.000000000000000,22.000000000000000,CLOSED,11/18/1993 0:00:00,11/27/2024 0:00:00,7/9/2025 0:00:00,2.000000000000000,27.000000000000000,13.000000000000000,42.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,20.000000000000000,6336910.000000000000000,1852928.000000000000000
7,ADULT RESIDENTIAL,370801999.000000000000000,TURMAN'S GUEST HOME #4,"TURMAN, LINDA",,LINDA TURMAN,(619) 561-0681,9174 WINTERGARDENS BLVD,LAKESIDE,CA,92040.000000000000000,SAN DIEGO,8.000000000000000,15.000000000000000,CLOSED,8/18/1976 0:00:00,9/5/2023 0:00:00,7/30/2025 0:00:00,1.000000000000000,10.000000000000000,3.000000000000000,14.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,6352182.000000000000000,1887766.000000000000000
8,ADULT RESIDENTIAL,370802000.000000000000000,TURMAN'S GUEST HOME #3,"TURMAN, LINDA",,"TURMAN, LINDA",(619) 443-8714,9641 SNOWVIEW DR,EL CAJON,CA,92021.000000000000000,SAN DIEGO,8.000000000000000,13.000000000000000,LICENSED,3/2/1992 0:00:00,,3/6/2025 0:00:00,3.000000000000000,1.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6378794.000000000000000,1891821.000000000000000
9,ADULT RESIDENTIAL,370802001.000000000000000,CASA DE JUAN,"TURMAN, LINDA",,KELLY GALLOWAY,(619) 447-1158,549 NORTH THIRD STREET,EL CAJON,CA,92019.000000000000000,SAN DIEGO,8.000000000000000,15.000000000000000,CLOSED,5/13/1977 0:00:00,9/15/2021 0:00:00,9/8/2021 0:00:00,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6353745.000000000000000,1871937.000000000000000
10,ADULT RESIDENTIAL,370802002.000000000000000,TURMAN'S GUEST HOME #2,"TURMAN, LINDA",,LINDA TURMAN,(619) 444-8633,1140 MARLINE AVE,EL CAJON,CA,92021.000000000000000,SAN DIEGO,8.000000000000000,6.000000000000000,LICENSED,9/7/1973 0:00:00,,11/6/2025 0:00:00,3.000000000000000,2.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6348832.000000000000000,1873574.000000000000000
11,ADULT RESIDENTIAL,370802043.000000000000000,CHAVEZ RESIDENTIAL CARE FACILITY,"CHAVEZ, FRANK & YOLANDA",,"CHAVEZ, FRANK & YOLA",(619) 282-1370,3357 PALM STREET,SAN DIEGO,CA,92104.000000000000000,SAN DIEGO,8.000000000000000,8.000000000000000,CLOSED,7/24/1993 0:00:00,10/4/2023 0:00:00,10/4/2023 0:00:00,3.000000000000000,0.000000000000000,1.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,6293696.000000000000000,1848463.000000000000000
