objectid,site_code,common_nm,managing_dept,location,cmty_plan,desg_use,site_acres,dedicated_park,pud_branch,site_restriction,reso_ord_num,reso_ord_dt,globalid,shape_Length,shape_Area
1,H321RU,CARMEL VALLEY OPEN SPACE,Parks & Recreation,SLY CARMEL CTR RD & FOXHOLLOW,Carmel Valley,OSDESG,0.191000000000000,N,,NONE,R-265955,06/16/1986,{D893771F-67C3-478D-BBFB-6E153DD78B70},198.150122723130153,944.615445742891211
2,J630WW,MIRAMAR RESERVOIR LAND,PUD - Water,SCRIPPS LAKE DR ELY RED CEDAR,Scripps Miramar Rch,WATERSHED,0.340000000000000,N,WATER,NONE,R-000000,?,{293D496C-28DF-4849-B7D5-41546B8F39BF},1474.870966498204780,11373.021455225611135
3,O709R3,MISSION TRAILS OPEN SPACE    LM,Parks & Recreation,LAKE MURRAY BLVD & KIOWA,Navajo,OSDESG,166.175000000000011,N,WATER,UNK,R-263065,04/29/1985,{EDA9CCE4-AD4F-4268-B2C8-0DC858609789},43675.397434983126004,7507254.656004737131298
4,S729PM,SITE 733,PUD - Water,BROADWAY & 63RD ST SELY OF,Encanto,UREV,0.303000000000000,N,WATER,NONE,R-279820,04/27/1992,{502E65AF-5C61-4F52-8543-7786240ACD07},1398.517974437744442,14992.504135551656873
5,G510RO,RANCHO PENASQUITOS OPEN SPACE,Parks & Recreation,NELY BLK MT RD & RHO PENASQ BVD,Rancho Penasquitos,OSDED,0.405000000000000,Y,,DEDOS,R-307952,01/02/2013,{FE3BBCA5-C5EE-418B-81DE-E453E2E37CC2},525.597890875060784,16831.824991447512730
6,T524GM,SITE 856,Transportation,MAIN ST ELY 26TH ST,Barrio Logan,STREET,0.141000000000000,N,,UNK,R-251310,03/03/1980,{157A65BF-92A3-4A4A-BD1B-B6D103B76D7C},436.723673853598939,6083.506737374920704
7,Q704WM,REDWOOD VLG STANDPIPE,PUD - Water,ROCK ST & MARRON SWLY,Eastern Areas,STANDPIPE,1.241000000000000,N,WATER,NONE,R-000000,?,{42A81442-DFD0-4516-83D6-5EA3A0C423F3},960.106878257245967,51456.006590223943931
8,J401R2,LOS PENASQUITOS CYN OPEN SPACE,Parks & Recreation,SLY SORRENTO VLY BLVD ELY I-805,Mira Mesa,OSDED,112.816000000000003,Y,,DEDOS,R-303253,12/18/2007,{DAC5A5BC-6F7F-45C3-9E25-94A08A9EF419},36635.004390258458443,5116222.786797939799726
9,S638RO,CHOLLAS RADIO SYSTEM,Parks & Recreation,RADIO DRIVE,Encanto,OSDED,35.268999999999998,Y,,DEDOS,O-16890,07/06/1987,{C875AF30-5D59-45C6-986A-C783E2D2693B},7847.070756772478489,1660406.739914093166590
10,Q650RS,City Heights Square Mini Park,Parks & Recreation,"43rd St, 4000 block, East side",Mid-City: City Heights,MPARK,0.123000000000000,N,,NONE,R-308898,04/28/2014,{C811234B-727E-49BA-BB59-9B6B3089AE7A},316.920526242267044,5348.480544534148976
11,H517RO,LOS PENASQUITOS CYN OPEN SPACE,Parks & Recreation,DARKWOOD RD WLY OF,Rancho Penasquitos,OSDED,0.094000000000000,Y,,DEDOS,R-303253,12/18/2007,{28FF97A0-7914-43DA-A468-898E3EB3431B},317.188810143715386,3909.303144170110045
12,P528RD,NORTH MTN VIEW MINI-PARK,Parks & Recreation,N MOUNTAIN VIEW DR WLY 34TH ST,Normal Heights,MPARK,0.420000000000000,Y,,DEDOS,O-18779,03/03/2000,{C6BCAFB4-1FFE-49EC-8115-CAEF6FA2356D},601.143782847162811,18503.994454342548124
13,T614PM,SITE 716,PUD - Water,DIVISION ST WLY 58TH ST,Encanto,NOTDESG,0.413000000000000,N,WATER,NONE,R-279820,04/27/1992,{22F74675-4415-42EE-834B-EBBD124E8BDD},1280.780338391134819,19170.033489968500362
14,O608WP,EL CAPITAN PIPELINE R/W,PUD - Water,CARTHAGE ST & BARCLAY AVE,Navajo,WTRPIPE,0.185000000000000,N,WATER,NONE,R-251705,04/28/1980,{D2692959-969F-4780-9EF7-EF20ADA0949A},611.289485283509521,8196.249382904856247
15,O602RD,ALLIED GARDENS COMM PARK,Parks & Recreation,GREENBRIER AV & GLENROY,Navajo,CMTYPK,9.826000000000001,Y,,DEDOS,O-11105,08/14/1973,{86760397-8BFE-400C-AED9-147B16CB71DC},2937.171827942945583,435486.340410703793168
16,S501FS,FIRE STATION #11,Fire-Rescue,945 25TH ST,Greater Golden Hill,FIRESTAT,0.289000000000000,N,,UNK,R-000000,?,{FC70198F-EB76-447B-A0B9-AD78BAD929EE},472.191421519433447,13232.276846257387660
17,P201R2,CAMPLAND PARK 522,Parks & Recreation,SWLY PACIFIC BCH DR & OLNEY ST,Mission Bay Park,RPARK,16.770000000000000,Y,,DEDOS,O-17030,02/16/1990,{A2C5F93C-9BC6-4AE9-868C-3AF77BFE3AB4},5343.439196572447145,933256.794357397709973
18,S603RD,GOMPERS PARK,Parks & Recreation,HILLTOP DR & CAROLINA,Encanto,NPARK,4.820000000000000,Y,,DEDOS,O-11402,10/03/1974,{2DE7DAB5-8B2E-4266-A2AA-21F9B4D343E5},1927.585797235702330,206230.099105145753128
19,R602RD,HOLLYWOOD PARK,Parks & Recreation,SUMAC DR OFF FAIRMONT AV,City Heights,NPARK,14.093999999999999,Y,,DEDOS,O-999999,?,{5DDBDC69-1EF5-4EDE-A3F5-1C3312AD3E16},7082.648199188812214,624599.391026671160944
20,N215GM,SITE 832,Stormwater,MORENA BLVD & JUTLAND DR SWLY,Clairemont Mesa,DRAIN,4.410000000000000,N,,UNK,R-251310,03/03/1980,{F0FD6A44-3F2F-40B6-89F7-31595B569691},4618.329068485969401,204078.873429280851269
21,Z002EM,OTAY MESA TRUCK ROUTE,Transportation,SLY SIEMPRE VIVA RD NEAR DRUCKER LN,Otay Mesa,STREET,6.495000000000000,N,,SFR,R-250320,10/01/1979,{9728E541-D905-4896-9BED-49865456B376},14833.005167578445253,282653.330521150783170
22,N414P2,KEARNY VILLA RD EXCESS,Real Estate,KEARNY VILLA RD SLY AERO DR,Kearny Mesa,NOTDESG,0.028000000000000,N,,UNK,R-000000,?,{5C4DE81F-1311-4D65-9452-299588F5AE69},189.707420265684448,991.579920734950178
