EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
2296179,RELIGIOUS SCIENCE CHURCH CENTER OF SAN DIEGO,,4102 MARLBOROUGH,SAN DIEGO,CA,92105-1462,0,3,3,7000,196204,1,10,1000000,1,1,,0,0,6,0,3,,,,,
10531628,AMERICAN CHESAPEAKE CLUB CHARITABLE TR,% MARK WALSH,9934 PRATT CT,SANTEE,CA,92071-1530,0,3,3,2000,200008,1,15,0,2,1,202412.0,4,3,1,0,12,136868.0,82676.0,15676.0,D05,MARK WALSH TREASURER
10549309,ROBERTS FOUNDATION,% MARGARET GALLAGHER THOMPSON ESQ,PO BOX 9059,SAN DIEGO,CA,92169-0059,0,3,3,1000,200506,1,4,0,2,1,202412.0,7,4,0,1,12,8700413.0,407885.0,,T22,
10563236,AAUW DEL MAR-LEUCADIA CALIFORNIA BRANCH,% BETTY REED,PO BOX 543,SOLANA BEACH,CA,92075-0543,0,3,3,1000,200211,1,16,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,B21,
10565671,SAN DIEGO RIVER PARK FOUNDATION,% ROB HUTSEL,4891 PACIFIC HWY STE 114,SAN DIEGO,CA,92110-4026,0,3,3,1000,200210,1,15,0,1,1,202412.0,8,6,1,0,12,32020724.0,4095868.0,4095868.0,N32,
10573059,KAI ELUA OUTRIGGER CANOE CLUB,% ERIKA GAUDLITZ,1804 GARNET AVENUE SUITE 107,SAN DIEGO,CA,92109-3352,0,3,3,1200,201005,1,16,0,1,1,202410.0,3,3,1,0,10,31231.0,80939.0,80939.0,N67,A CALIFORNIA NON PROFIT CORPORATION
10597081,ELIUD MINISTRIES,% MARY TORR JACKSON,9265 BROOKSIDE CIR,SPRING VALLEY,CA,91977-1103,0,3,3,1700,200311,1,15,0,5,1,202402.0,0,0,2,0,2,0.0,0.0,0.0,P50,
10606766,VALLEY CENTER HISTORY MUSEUM,% NICKY LOVEJOY,PO BOX 2665,VALLEY CENTER,CA,92082-2600,0,3,2,1200,200206,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,A50,
10635895,SHELTERCARE PROVIDERS OF SAN DIEGO INC,% JOHN PETERSON,PO BOX 927068,SAN DIEGO,CA,92192-7068,8137,3,9,1000,199510,0,15,994560000,1,1,202412.0,5,4,1,0,12,502267.0,427220.0,384245.0,,HOMEAID SAN DIEGO
10637429,GREAT LIGHT PRESBYTERIAN CHURCH,% JONG SOO HAN,10125 AZUAGA ST,SAN DIEGO,CA,92129-4000,0,3,3,7000,200204,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10640885,SOUTHERN CALIFORNIA COMPLIANCE GROUP SCCG,% WILLIAM T WARNICK,1286 UNIVERSITY AVE STE 179,SAN DIEGO,CA,92103-3312,0,4,3,1000,200204,2,0,0,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,S46,
10642391,STARLIGHT SPIRITUAL RETREAT CENTER,% ERIN TUATAGALOA,PO BOX 19052,SAN DIEGO,CA,92159-0052,0,3,3,7000,200208,1,15,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,X99,
10642634,DOCTORS OFFERING CHARITABLE SERVICES,% MUNISH K BATRA MD,12264 EL CAMINO REAL STE 101,SAN DIEGO,CA,92130-3060,0,3,3,1000,200406,1,16,0,1,1,202406.0,0,0,2,0,6,0.0,0.0,0.0,E60,DOCS
10645630,ANGEL HARPS,% CHRISTINA TOURIN,PO BOX 333,MOUNT LAGUNA,CA,91948-0333,0,3,3,1000,200302,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,A6E,
10663066,OPEN DOOR FAMILY WORSHIP CENTER,% CHARLES MATTHEWS,2618 ANGELA WAY,ALPINE,CA,91901-3696,0,3,3,7000,201512,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10683832,CREATING SAFER HAVENS,% DONALDA SHEPARDSON FOUNDER PRES,10035 PROSPECT AVE STE 201,SANTEE,CA,92071-4385,0,3,3,1500,202212,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,I20,
10684612,DAVID NEAL PENNINGTON FOUNDATION,% CAPITOL CORPORATE SERVICES,325 W WASHINGTON ST SUITE 2245,SAN DIEGO,CA,92103-1946,0,3,3,1000,200209,1,4,0,1,1,202412.0,5,5,0,1,12,978708.0,554382.0,,T22,
