ein,strein,name,sub_name,city,state,ntee_code,subseccd,score,search_query,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
820973253,82-0973253,San Diego Gaa,San Diego Gaa San Diego Gaelic Games,San Diego,CA,,3,95.63512,san diego,San Diego,CA,92110-2767,3,,,,,
260457477,26-0457477,Feeding San Diego,Feeding San Diego,San Diego,CA,K30,3,94.64624,san diego,San Diego,CA,92121-2934,3,2023.0,81172109.0,87467332.0,13391451.0,
953035557,95-3035557,Civic San Diego,Civic San Diego,San Diego,CA,S31Z,3,94.64624,san diego,San Diego,CA,92108-1647,3,2024.0,37833041.0,36700224.0,22391966.0,
330122462,33-0122462,Nami San Diego,Nami San Diego,San Diego,CA,Z99,3,94.64624,san diego,San Diego,CA,92123-1354,3,2023.0,12855737.0,12331113.0,5200798.0,
481291867,48-1291867,Kipp San Diego,Kipp San Diego,San Diego,CA,B29,3,94.64624,san diego,San Diego,CA,92101-3245,3,2018.0,3929927.0,4191199.0,2654332.0,
475534541,47-5534541,Alzheimers San Diego,Alzheimers San Diego,San Diego,CA,H83,3,94.64624,san diego,San Diego,CA,92123-1880,3,2023.0,2917722.0,3052762.0,4996290.0,
330647946,33-0647946,San Diego Coastkeeper,San Diego Coastkeeper,San Diego,CA,C320,3,94.64624,san diego,San Diego,CA,92111-2111,3,2023.0,921217.0,1090517.0,2363056.0,
853336715,85-3336715,San Diego Squared,San Diego Squared,San Diego,CA,B82,3,94.64624,san diego,San Diego,CA,92122-4449,3,2023.0,1319826.0,1001192.0,2879066.0,
461740672,46-1740672,Ucp San Diego,Ucp San Diego,San Diego,CA,B20,3,94.64624,san diego,San Diego,CA,92103-2030,3,2024.0,1118520.0,1066528.0,720678.0,
330461414,33-0461414,San Diego Ballet,San Diego Ballet,San Diego,CA,Z99Z,3,94.64624,san diego,San Diego,CA,92106-6172,3,2023.0,968733.0,969120.0,480101.0,
465183143,46-5183143,Tree San Diego,Tree San Diego,San Diego,CA,C99,3,94.64624,san diego,San Diego,CA,92166-0324,3,2023.0,759385.0,742220.0,930429.0,
922808547,92-2808547,San Diego Made,San Diego Made,San Diego,CA,A20,3,94.64624,san diego,San Diego,CA,92113-1109,3,,,,,
471425941,47-1425941,Sprockids San Diego,Sprockids San Diego,San Diego,CA,B19,3,94.64624,san diego,San Diego,CA,92129-3011,3,2024.0,169449.0,141870.0,103363.0,
383787597,38-3787597,San Diego Winds,San Diego Winds,San Diego,CA,A68,3,94.64624,san diego,San Diego,CA,92175-5473,3,2022.0,280931.0,275822.0,49732.0,
811777747,81-1777747,Startup San Diego,Startup San Diego,San Diego,CA,S43,3,94.64624,san diego,San Diego,CA,92101-3539,3,2023.0,298735.0,303012.0,82070.0,
953068100,95-3068100,Livewell San Diego,Livewell San Diego,San Diego,CA,,3,94.64624,san diego,San Diego,CA,92117,3,2015.0,229685.0,232536.0,5632.0,
471398771,47-1398771,1 San Diego,1 San Diego,San Diego,CA,W99,3,94.64624,san diego,San Diego,CA,92112-3054,3,2019.0,213022.0,299850.0,168781.0,
330860813,33-0860813,Activist San Diego,Activist San Diego,San Diego,CA,T193,3,94.64624,san diego,San Diego,CA,92165-5631,3,2024.0,73181.0,56893.0,268101.0,
833244841,83-3244841,Scoop San Diego,Scoop San Diego,San Diego,CA,P12,3,94.64624,san diego,San Diego,CA,92104-3510,3,2023.0,50473.0,40000.0,17257.0,
460817449,46-0817449,San Diego Meditation,San Diego Meditation,San Diego,CA,X20,3,94.64624,san diego,San Diego,CA,92116-3207,3,2015.0,63056.0,48812.0,15783.0,
862140003,86-2140003,Reopen San Diego,Reopen San Diego,San Diego,CA,R99,3,94.64624,san diego,San Diego,CA,92120-2705,3,2021.0,124737.0,53622.0,71115.0,
464354307,46-4354307,Cwc San Diego,Cwc San Diego,San Diego,CA,F22,3,94.64624,san diego,San Diego,CA,92174-0211,3,2023.0,16505.0,15688.0,14752.0,
462522536,46-2522536,San Diego Chill,San Diego Chill,San Diego,CA,N99,3,94.64624,san diego,San Diego,CA,92130-3728,3,2016.0,8797.0,12378.0,15112.0,
883005898,88-3005898,San Diego Yehudim,San Diego Yehudim,San Diego,CA,T31,3,94.64624,san diego,San Diego,CA,92120-1820,3,2023.0,1.0,0.0,33321.0,
330377908,33-0377908,Accessible San Diego,Accessible San Diego,San Diego,CA,,3,94.64624,san diego,San Diego,CA,92112,3,2014.0,25659.0,42206.0,3199.0,
