OID_,OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
1,106130699.000000000000000,10190.000000000000000,EL CENTRO REGIONAL MEDICAL CENTER,90000004.000000000000000,General Acute Care Hospital,1415 ROSS AVENUE,EL CENTRO,92243.000000000000000,13.000000000000000,Imperial,Emergency - Basic,161.000000000000000,Open,1/21/1967 0:00:00,Hospital,General Acute Care Hospital,32.781103199999997,-115.567668900000001
2,106130760.000000000000000,10192.000000000000000,PIONEERS MEMORIAL HOSPITAL,90000087.000000000000000,General Acute Care Hospital,207 WEST LEGION ROAD,BRAWLEY,92227.000000000000000,13.000000000000000,Imperial,Emergency - Basic,107.000000000000000,Open,11/6/1950 0:00:00,Hospital,General Acute Care Hospital,32.958948999999997,-115.553700599999999
3,106301155.000000000000000,10405.000000000000000,COLLEGE HOSPITAL COSTA MESA,60000100.000000000000000,General Acute Care Hospital,301 VICTORIA STREET,COSTA MESA,92627.000000000000000,30.000000000000000,Orange,None,122.000000000000000,Open,9/5/1968 0:00:00,Hospital,General Acute Care Hospital,33.651795300000003,-117.911810000000003
4,106301205.000000000000000,10428.000000000000000,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,60000122.000000000000000,General Acute Care Hospital,1 HOAG DRIVE,NEWPORT BEACH,92663.000000000000000,30.000000000000000,Orange,Emergency - Basic,440.000000000000000,Open,9/15/1952 0:00:00,Hospital,General Acute Care Hospital,33.624736499999997,-117.929742200000007
5,106301258.000000000000000,13059.000000000000000,SOUTH COAST GLOBAL MEDICAL CENTER,60000143.000000000000000,General Acute Care Hospital,2701 S. BRISTOL STREET,SANTA ANA,92704.000000000000000,30.000000000000000,Orange,Emergency - Basic,178.000000000000000,Open,6/7/1973 0:00:00,Hospital,General Acute Care Hospital,33.711071799999999,-117.884031399999998
6,106301262.000000000000000,12804.000000000000000,PROVIDENCE MISSION HOSPITAL,60000146.000000000000000,General Acute Care Hospital,27700 MEDICAL CENTER ROAD,MISSION VIEJO,92691.000000000000000,30.000000000000000,Orange,Emergency - Basic,345.000000000000000,Open,8/10/1971 0:00:00,Hospital,General Acute Care Hospital,33.561005799999997,-117.665370600000003
7,106301317.000000000000000,12755.000000000000000,MEMORIALCARE SADDLEBACK MEDICAL CENTER,60000166.000000000000000,General Acute Care Hospital,24451 HEALTH CENTER DRIVE,LAGUNA HILLS,92653.000000000000000,30.000000000000000,Orange,Emergency - Basic,248.000000000000000,Open,1/27/1974 0:00:00,Hospital,General Acute Care Hospital,33.609325200000001,-117.708929800000007
8,106301337.000000000000000,10468.000000000000000,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH,60000146.000000000000000,General Acute Care Hospital,31872 COAST HIGHWAY,LAGUNA BEACH,92651.000000000000000,30.000000000000000,Orange,Emergency - Basic,159.000000000000000,Open,7/1/2009 0:00:00,Hospital,General Acute Care Hospital,33.500256899999997,-117.741941699999998
9,106301357.000000000000000,12573.000000000000000,FOOTHILL REGIONAL MEDICAL CENTER,60000178.000000000000000,General Acute Care Hospital,14662 NEWPORT AVENUE,TUSTIN,92780.000000000000000,30.000000000000000,Orange,Emergency - Basic,177.000000000000000,Open,2/23/1998 0:00:00,Hospital,General Acute Care Hospital,33.730116799999998,-117.828486900000001
10,106304045.000000000000000,16319.000000000000000,HOAG HOSPITAL IRVINE,60000122.000000000000000,General Acute Care Hospital,16200 SAND CANYON AVENUE,IRVINE,92618.000000000000000,30.000000000000000,Orange,Emergency - Basic,96.000000000000000,Open,8/26/2010 0:00:00,Hospital,General Acute Care Hospital,33.660680700000000,-117.772308600000002
