Name,SiteDescription,Administrator,Licensee,Address,City,State,Zip,County,Email,TelephoneNumber
SOMERMONT FAMILY HOME,ADULT RESIDENTIAL,"KINNAIRD, SUSAN","KINNAIRD, SUSAN",1393 SOMERMONT DRIVE,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 448-8744
ST MADELEINE SOPHIES CENTER,ADULT DAY PROGRAM,DEBRA EMERSON,"ST MADELEINE SOPHIES TRAINING CTR, INC",2119 E. MADISON AVENUE,EL CAJON,CA,92019.0,SAN DIEGO,,(619) 442-5129
ORANGE WOOD MANOR,ADULT RESIDENTIAL,DEBORAH ALVARADO,JO-VON ENTERPRISES,1202 SOUTH ORANGE,EL CAJON,CA,92020.0,SAN DIEGO,,(619) 440-0121
BENEDICT GUEST HOME,ADULT RESIDENTIAL,"DIAZ, DIANA","BENEDICT, GEORGE & RAINEY D.",1728 DAYTON DRIVE,LEMON GROVE,CA,91945.0,SAN DIEGO,,(619) 466-3454
VOA - TROY CENTER FOR SUPPORTIVE LIVING,ADULT RESIDENTIAL,NICHOLAS FIERRO,"VOLUNTEERS OF AMERICA, THE",8627 TROY STREET,SPRING VALLEY,CA,91977.0,SAN DIEGO,,(619) 465-8792
CAVELARIS COMMUNITY CARE CENTER,ADULT RESIDENTIAL,ARLENE DOULOPOULOS,"CAVELARIS, NANA",9975 SAN JUAN STREET,SPRING VALLEY,CA,91977.0,SAN DIEGO,,(619) 466-6759
TURMAN'S GUEST HOME #4,ADULT RESIDENTIAL,LINDA TURMAN,"TURMAN, LINDA",9174 WINTERGARDENS BLVD,LAKESIDE,CA,92040.0,SAN DIEGO,,(619) 561-0681
TURMAN'S GUEST HOME #3,ADULT RESIDENTIAL,"TURMAN, LINDA","TURMAN, LINDA",9641 SNOWVIEW DR,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 443-8714
CASA DE JUAN,ADULT RESIDENTIAL,KELLY GALLOWAY,"TURMAN, LINDA",549 NORTH THIRD STREET,EL CAJON,CA,92019.0,SAN DIEGO,,(619) 447-1158
TURMAN'S GUEST HOME #2,ADULT RESIDENTIAL,LINDA TURMAN,"TURMAN, LINDA",1140 MARLINE AVE,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 444-8633
CHAVEZ RESIDENTIAL CARE FACILITY,ADULT RESIDENTIAL,"CHAVEZ, FRANK & YOLA","CHAVEZ, FRANK & YOLANDA",3357 PALM STREET,SAN DIEGO,CA,92104.0,SAN DIEGO,,(619) 282-1370
GAITAN'S BOARD & CARE FACILITY,ADULT RESIDENTIAL,"GAITAN, DOLORES","GAITAN, DOLORES",761 16TH STREET,SAN DIEGO,CA,92154.0,SAN DIEGO,,(619) 423-3313
VOA-CARLTON G. LUHMAN CENTER FOR SUPPORTIVE LIVING,ADULT RESIDENTIAL,"MURRY, DAYLIN","VOLUNTEERS OF AMERICA, SOUTHWEST CA, INC.",290 S. MAGNOLIA,EL CAJON,CA,92020.0,SAN DIEGO,,(619) 447-2428
CARROLL'S COMMUNITY CARE,ADULT RESIDENTIAL,ROGELIO HERNANDEZ,"MEYERS JR, DONALD AND WILLIE ANN",523 EMERALD AVENUE,EL CAJON,CA,92020.0,SAN DIEGO,,(619) 442-8893
ORLANDO GUEST HOME,ADULT RESIDENTIAL,CYRALYNN MABALOT,"HUERTAS, ANTONIO AND FANNIE",297 -299 ORLANDO,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 444-9411
BAUM FAMILY CARE HOME,ADULT RESIDENTIAL,"BAUM, RONALD&CHERYL","BAUM, RONALD PHILIP & CHERYL ANN",9627 RANCHO MIRAGE LANE,LAKESIDE,CA,92040.0,SAN DIEGO,,(619) 390-8978
ARC-EAST COUNTY TRAINING CENTER,ADULT DAY PROGRAM,LEILANIE BALTAZAR-CHARLOT,ARC-EAST COUNTY CHAPTER,1374 E. LEXINGTON AVENUE,EL CAJON,CA,92019.0,SAN DIEGO,,(619) 444-9417
MICHAEL GASTELUM A.R.F.,ADULT RESIDENTIAL,"GASTELUM, MICHAEL","GASTELUM, MICHAEL",3705 SINCLAIR LANE,SPRING VALLEY,CA,91977.0,SAN DIEGO,,(619) 465-5208
TURMAN'S RESIDENTIAL FACILITY 7,ADULT RESIDENTIAL,KELLY GALLOWAY,"TURMAN, LINDA",8384 MELROSE LANE,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 312-1679
ARC OF SAN DIEGO-SOL AND RUTH GERBER FAMILY CENTER,ADULT DAY PROGRAM,"OTERIA TERI"""" MEDLEY""""","ARC OF SAN DIEGO, THE",1280 NOLAN AVENUE,CHULA VISTA,CA,91911.0,SAN DIEGO,,(610) 800-3635
TURMANS - LAGUNA,ADULT RESIDENTIAL,LINDA TURMAN,"TURMAN, LINDA",850  LAGUNA AVENUE,EL CAJON,CA,92020.0,SAN DIEGO,,(619) 447-8649
CASA DE SERVICIOS,ADULT DAY PROGRAM,JORGE ARANGURE,"SAN YSIDRO URBAN COUNCIL, INC.",1188 BEYER WAY SUITE 101,SAN DIEGO,CA,92154.0,SAN DIEGO,,(619) 423-1901
"GEORGE G. GLENNER ALZHEIMER'S FAMILY CENTER, INC.",ADULT DAY PROGRAM,SCOTT TARDE,"ALZHEIMER'S FAMILY CENTER, INC.",3686 FOURTH AVE.,SAN DIEGO,CA,92103.0,SAN DIEGO,,(619) 543-4704
MARSELL'S ADULT RESIDENTIAL FACILITY #2,ADULT RESIDENTIAL,MARTHA SELL,SELL MARTHA J. AND VICTOR A.,1460 E. LEXINGTON,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 328-0030
ALPINE TERRACE,ADULT RESIDENTIAL,DEBORAH JOHNSTON,"JOHNSTON, DEBORAH",1544 ALPINE TERRACE,ALPINE,CA,91901.0,SAN DIEGO,,(619) 445-8716
NEW BAY TERRACE BOARD AND CARE,ADULT RESIDENTIAL,AMOR AGUINALDO,"AGUINALDO, HONESTO",6191 PARKSIDE AVENUE,SAN DIEGO,CA,92139.0,SAN DIEGO,,(619) 512-1085
FANCOR GUEST HOME,ADULT RESIDENTIAL,"HUERTAS, FANNIE","HUERTAS, ANTONIO AND FANNIE",631-651 TAFT AVENUE,EL CAJON,CA,92020.0,SAN DIEGO,,(619) 588-1761
GUERRERO ADULT RESIDENTIAL FACILITY #2,ADULT RESIDENTIAL,"GUERRERO, JOSE M.","GUERRERO, JOSE & JESUSA",758 HARRIS AVENUE,SAN DIEGO,CA,92154.0,SAN DIEGO,,(619) 424-7927
MARSELL'S A.R.F. #3,ADULT RESIDENTIAL,"SELL, MARTHA","SELL, MARTHA AND VICTOR",10002 DUNBAR LANE,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 443-6048
SAINT ANNE GUEST HOME,ADULT RESIDENTIAL,ENRIQUE RAMOS,"RAMOS, ENRIQUE T. AND LIBRADA O.",3027 SABINA DRIVE,SAN DIEGO,CA,92139.0,SAN DIEGO,,(619) 399-5196
TURMAN'S CLARENDON HOUSE I,ADULT RESIDENTIAL,KELLY GALLOWAY,"TURMAN, LINDA",1280 CLARENDON STREET,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 588-5493
TURMAN'S CLARENDON HOUSE II,ADULT RESIDENTIAL,MICHELYNNE ELLIOT,"TURMAN, LINDA",1284 CLARENDON STREET,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 588-7465
TURMAN'S CLARENDON HOUSE III,ADULT RESIDENTIAL,KELLY GALLOWAY,"TURMAN, LINDA",1288 CLARENDON STREET,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 440-5143
JACKIE'S BOARD AND CARE,ADULT RESIDENTIAL,JACKIE CUNNINGHAM,JACKIE CUNNINGHAM,10863 EL NOPAL,SANTEE,CA,92071.0,SAN DIEGO,,(619) 258-7390
VELASCO HOME II,ADULT RESIDENTIAL,ELIZABETH VELASCO,"VELASCO, GUILLERMO & MARCELINA",1537 LARKHAVEN DRIVE,CHULA VISTA,CA,91911.0,SAN DIEGO,,(619) 585-1283
"LEWIS, FRANK & KAREN",ADULT RESIDENTIAL,"LEWIS, KAREN","LEWIS, FRANK & KAREN",864 PALOMAR AVENUE,EL CAJON,CA,92020.0,SAN DIEGO,,(619) 985-3435
BAUM ADULT RESIDENTIAL FACILITY #2,ADULT RESIDENTIAL,"BAUM, CHERYL","BAUM, RONALD AND CHERYL",9680 PETITE LANE,LAKESIDE,CA,92040.0,SAN DIEGO,,(619) 561-7524
NINA'S ADULT RESIDENTIAL FACILITY,ADULT RESIDENTIAL,"FRANI, DENISA","GUEVARRA, FILOMENA",2661 ZULU WAY,SAN DIEGO,CA,92139.0,SAN DIEGO,,(619) 856-4551
"UNYEWAY, INC.-ADULT DEVELOPMENT CENTER",ADULT DAY PROGRAM,BLANCA VASQUEZ,"UNYEWAY, INC.","11440 RIVERSIDE DR, A-D & I-K",LAKESIDE,CA,92040.0,SAN DIEGO,,(619) 562-6330
GUIDING LIGHT WAY HOME #2,ADULT RESIDENTIAL,RONEL PUNONGBAYAN,"PUNONGBAYAN, ELIZABETH & BARTOLOME, LENI P",567 SEARS AVENUE,SAN DIEGO,CA,92114.0,SAN DIEGO,,(619) 463-2602
"GARDEN HOUSE ADULT RESIDENTIAL FACILITY, THE",ADULT RESIDENTIAL,"GUTIERREZ, LUIS & REBECA","GUTIERREZ, LUIS I.",5640 ALLEGHANY ST.,SAN DIEGO,CA,92139.0,SAN DIEGO,,(619) 475-5640
VITIN CARE HOME #2,ADULT RESIDENTIAL,MIRIAM WAUGH & DIANA VITIN,"VITIN, DIANA B.",1493 ILEXEY AVE.,SAN DIEGO,CA,92154.0,SAN DIEGO,,(619) 428-0711
CLARK ADULT RESIDENTIAL FACILITY,ADULT RESIDENTIAL,ADRIANNE CLARK,"CLARK, ADRIANNE & JAMES D.",2402 EUCLID AVENUE,EL CAJON,CA,92019.0,SAN DIEGO,,(619) 579-0783
"BAUM ADULT RESIDENTIAL FACILITY, #3",ADULT RESIDENTIAL,CHERYL BAUM,RONALD & CHERYL BAUM,9905 CIRCA VALLE VERDE,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 561-7524
DEL SUR CRISIS CENTER,SOCIAL REHABILITATION FACILITY,"ARREDONDO, AIDE",COMMUNITY RESEARCH FOUNDATION,892 27TH STREET,SAN DIEGO,CA,92154.0,SAN DIEGO,,(619) 575-4687
NEW VISTAS,SOCIAL REHABILITATION FACILITY,CINDY ROBINSON,COMMUNITY RESEARCH FOUNDATION,734 10TH AVENUE,SAN DIEGO,CA,92101.0,SAN DIEGO,,(619) 239-4663
MORNING BREEZE HOME,ADULT RESIDENTIAL,"GARCIA, EMERITA","GARCIA, EMERITA & NELSON",1630 MORNING BREEZE LANE,NATIONAL CITY,CA,91950.0,SAN DIEGO,,(619) 472-1163
HALCYON CENTER,SOCIAL REHABILITATION FACILITY,PRISCILLA GROSSMAN,COMMUNITY RESEARCH FOUNDATION,1664 BROADWAY,EL CAJON,CA,92021.0,SAN DIEGO,,(619) 579-8685
BIGNELL HOME CARE,ADULT RESIDENTIAL,LIBRADA RAMOS,"RAMOS, LIBRADA O. AND ENRIQUE",7345 BIGNELL DRIVE,SAN DIEGO,CA,92139.0,SAN DIEGO,,(619) 470-4531
