,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,ein,name,sub_name,city,ntee_code,subseccd,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,_merge
0,2296179.0,RELIGIOUS SCIENCE CHURCH CENTER OF SAN DIEGO,,4102 MARLBOROUGH,SAN DIEGO,CA,92105-1462,0.0,3.0,3.0,7000.0,196204.0,1.0,10.0,1000000.0,1.0,1.0,,0.0,0.0,6.0,0.0,3.0,,,,,,2296179.0,Religious Science Church Center Of San Diego,Religious Science Church Center Of San Diego,San Diego,,3.0,,,,,both
1,10549309.0,ROBERTS FOUNDATION,% MARGARET GALLAGHER THOMPSON ESQ,PO BOX 9059,SAN DIEGO,CA,92169-0059,0.0,3.0,3.0,1000.0,200506.0,1.0,4.0,0.0,2.0,1.0,202412.0,7.0,4.0,0.0,1.0,12.0,8700413.0,407885.0,,T22,,,,,,,,,,,,left_only
2,10565671.0,SAN DIEGO RIVER PARK FOUNDATION,% ROB HUTSEL,4891 PACIFIC HWY STE 114,SAN DIEGO,CA,92110-4026,0.0,3.0,3.0,1000.0,200210.0,1.0,15.0,0.0,1.0,1.0,202412.0,8.0,6.0,1.0,0.0,12.0,32020724.0,4095868.0,4095868.0,N32,,10565671.0,San Diego River Park Foundation,San Diego River Park Foundation,San Diego,N32,3.0,2023.0,3004781.0,1359965.0,27779231.0,both
3,10573059.0,KAI ELUA OUTRIGGER CANOE CLUB,% ERIKA GAUDLITZ,1804 GARNET AVENUE SUITE 107,SAN DIEGO,CA,92109-3352,0.0,3.0,3.0,1200.0,201005.0,1.0,16.0,0.0,1.0,1.0,202410.0,3.0,3.0,1.0,0.0,10.0,31231.0,80939.0,80939.0,N67,A CALIFORNIA NON PROFIT CORPORATION,,,,,,,,,,,left_only
4,10635895.0,SHELTERCARE PROVIDERS OF SAN DIEGO INC,% JOHN PETERSON,PO BOX 927068,SAN DIEGO,CA,92192-7068,8137.0,3.0,9.0,1000.0,199510.0,0.0,15.0,994560000.0,1.0,1.0,202412.0,5.0,4.0,1.0,0.0,12.0,502267.0,427220.0,384245.0,,HOMEAID SAN DIEGO,10635895.0,Sheltercare Providers Of San Diego Inc,Sheltercare Providers Of San Diego Inc Homeaid San Diego,San Diego,,3.0,2023.0,330889.0,315915.0,493557.0,both
5,10637429.0,GREAT LIGHT PRESBYTERIAN CHURCH,% JONG SOO HAN,10125 AZUAGA ST,SAN DIEGO,CA,92129-4000,0.0,3.0,3.0,7000.0,200204.0,1.0,10.0,0.0,1.0,1.0,,0.0,0.0,6.0,0.0,12.0,,,,X20,,,,,,,,,,,,left_only
6,10640885.0,SOUTHERN CALIFORNIA COMPLIANCE GROUP SCCG,% WILLIAM T WARNICK,1286 UNIVERSITY AVE STE 179,SAN DIEGO,CA,92103-3312,0.0,4.0,3.0,1000.0,200204.0,2.0,0.0,0.0,5.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,S46,,,,,,,,,,,,left_only
7,10642391.0,STARLIGHT SPIRITUAL RETREAT CENTER,% ERIN TUATAGALOA,PO BOX 19052,SAN DIEGO,CA,92159-0052,0.0,3.0,3.0,7000.0,200208.0,1.0,15.0,0.0,1.0,1.0,202512.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,X99,,,,,,,,,,,,left_only
8,10642634.0,DOCTORS OFFERING CHARITABLE SERVICES,% MUNISH K BATRA MD,12264 EL CAMINO REAL STE 101,SAN DIEGO,CA,92130-3060,0.0,3.0,3.0,1000.0,200406.0,1.0,16.0,0.0,1.0,1.0,202406.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,E60,DOCS,,,,,,,,,,,left_only
9,10684612.0,DAVID NEAL PENNINGTON FOUNDATION,% CAPITOL CORPORATE SERVICES,325 W WASHINGTON ST SUITE 2245,SAN DIEGO,CA,92103-1946,0.0,3.0,3.0,1000.0,200209.0,1.0,4.0,0.0,1.0,1.0,202412.0,5.0,5.0,0.0,1.0,12.0,978708.0,554382.0,,T22,,,,,,,,,,,,left_only
10,10736017.0,SAN DIEGO THERAPEUTIC HORSEMANSHIP,,2191 HOLLISTER ST,SAN DIEGO,CA,92154-4302,0.0,3.0,3.0,1200.0,200211.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,N69,,10736017.0,San Diego Therapeutic Horsemanship,San Diego Therapeutic Horsemanship,San Diego,N69,3.0,,,,,both
11,10777554.0,BORDER ANGELS,% LUIS OSUNA,2258 ISLAND AVE,SAN DIEGO,CA,92102-2921,0.0,3.0,3.0,1000.0,200312.0,1.0,15.0,0.0,1.0,1.0,202412.0,5.0,4.0,1.0,0.0,12.0,740254.0,489373.0,489328.0,P61,,,,,,,,,,,,left_only
12,10778616.0,CORTEZ RACING ASSOCIATION A CALIFORNIA CORPORATION,% SHELLY RAMING,2907 SHELTER ISLAND DRIVE STE 105-5,SAN DIEGO,CA,92106-2797,0.0,3.0,3.0,1000.0,200308.0,1.0,15.0,0.0,1.0,1.0,202412.0,4.0,4.0,1.0,0.0,12.0,127602.0,108095.0,108095.0,N70,,,,,,,,,,,,left_only
13,10850312.0,TUITION GRANTED FOUNDATION,% JOCELYN PECTOL,PO BOX 927477,SAN DIEGO,CA,92192-7477,0.0,3.0,3.0,2000.0,200711.0,1.0,15.0,0.0,1.0,1.0,202412.0,1.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,B82,,,,,,,,,,,,left_only
14,10888493.0,SAN RAFAEL CATHOLIC CHURCH,% DENNIS L MIKULANIS,17252 BERNARDO CENTER DR,SAN DIEGO,CA,92128-2086,928.0,3.0,9.0,1700.0,194603.0,1.0,10.0,0.0,5.0,1.0,,0.0,0.0,6.0,0.0,12.0,,,,,SAN RAFAEL PARISH,,,,,,,,,,,left_only
15,10895410.0,SAN DIEGO CHINESE-AMERICAN WOMEN S LEAGUE,,7028 SHERBOURNE LN,SAN DIEGO,CA,92129-4654,0.0,3.0,3.0,1000.0,200803.0,1.0,15.0,0.0,1.0,1.0,202412.0,2.0,1.0,2.0,0.0,12.0,13201.0,4020.0,4020.0,S81,,10895410.0,San Diego Chinese American Women S League,San Diego Chinese American Women S League,San Diego,S81,3.0,2023.0,1100.0,1946.0,13375.0,both
16,10920860.0,SAN DIEGO STATE UNIVERSITY CIRCLE K,,5500 CAMPANILE DR,SAN DIEGO,CA,92182-0001,0.0,3.0,3.0,1000.0,201907.0,1.0,16.0,0.0,5.0,1.0,202405.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,,,10920860.0,San Diego State University Circle K,San Diego State University Circle K,San Diego,,3.0,,,,,both
17,10926177.0,OUT OF THE BOAT SWIM,% NAOMI SHINNICK,739 SAN LUIS REY PL,SAN DIEGO,CA,92109-8247,0.0,3.0,3.0,2100.0,201002.0,1.0,15.0,0.0,1.0,1.0,202512.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,N67,OUT OF THE BOAT,,,,,,,,,,,left_only
18,10934837.0,DEL NORTE HIGHSCHOOL MUSIC BOOSTERS,,16601 NIGHT HAWK LN,SAN DIEGO,CA,92127-4457,0.0,3.0,3.0,1000.0,201006.0,1.0,15.0,0.0,1.0,1.0,202506.0,4.0,4.0,1.0,0.0,6.0,145276.0,419400.0,419400.0,A6C,,,,,,,,,,,,left_only
19,10944035.0,KNIGHTS OF COLUMBUS,% EDUARDO A GONZALEZ,822 BELLE CREST WAY,SAN DIEGO,CA,92154-6459,188.0,8.0,9.0,1000.0,194010.0,2.0,0.0,36029265.0,5.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,7903 ST CHARLES COUNCIL,,,,,,,,,,,left_only
20,20582401.0,IGLESIA DE CRISTO SAN DIEGO INC,% RAFAEL GARCIA,4931 LOGAN AVE,SAN DIEGO,CA,92113-4471,0.0,3.0,3.0,7000.0,200408.0,1.0,10.0,0.0,1.0,1.0,202012.0,3.0,3.0,6.0,0.0,12.0,35330.0,95231.0,95231.0,X20,,20582401.0,Iglesia De Cristo San Diego Inc,Iglesia De Cristo San Diego Inc,San Diego,X20,3.0,2020.0,95231.0,85128.0,35330.0,both
21,20617380.0,EUGENE BOWMAN ECONOMIC EMPOWERMENT CENTER INC,% LORRAINE BOWMAN,3835 SWIFT AVE APT 109,SAN DIEGO,CA,92104-3166,0.0,3.0,3.0,1200.0,200302.0,1.0,15.0,0.0,1.0,1.0,202512.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,S30,,,,,,,,,,,,left_only
22,20731079.0,ISLAMIC EDUCATIONAL CENTER OF SAN DIEGO,% MOHAMMAD GHAZVINI,16130 W BERNARDO DR,SAN DIEGO,CA,92127-1830,0.0,3.0,3.0,7000.0,200506.0,1.0,10.0,0.0,0.0,1.0,,6.0,4.0,6.0,0.0,7.0,,,,X40,,20731079.0,Islamic Educational Center Of San Diego,Islamic Educational Center Of San Diego,San Diego,X40,3.0,,,,,both
23,20751906.0,CALIFORNIA HEALTH CARE COALITION,,1843 HOTEL CIRCLE SOUTH 3RD FLOOR,SAN DIEGO,CA,92108-3320,0.0,3.0,3.0,1000.0,200707.0,1.0,16.0,0.0,1.0,1.0,202412.0,4.0,4.0,1.0,0.0,12.0,119296.0,227503.0,227503.0,E19,,,,,,,,,,,,left_only
