ein,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
820973253,San Diego,CA,92110-2767,3,,,,,
260457477,San Diego,CA,92121-2934,3,2023.0,81172109.0,87467332.0,13391451.0,
953035557,San Diego,CA,92108-1647,3,2024.0,37833041.0,36700224.0,22391966.0,
330122462,San Diego,CA,92123-1354,3,2023.0,12855737.0,12331113.0,5200798.0,
481291867,San Diego,CA,92101-3245,3,2018.0,3929927.0,4191199.0,2654332.0,
475534541,San Diego,CA,92123-1880,3,2023.0,2917722.0,3052762.0,4996290.0,
330647946,San Diego,CA,92111-2111,3,2023.0,921217.0,1090517.0,2363056.0,
853336715,San Diego,CA,92122-4449,3,2023.0,1319826.0,1001192.0,2879066.0,
461740672,San Diego,CA,92103-2030,3,2024.0,1118520.0,1066528.0,720678.0,
330461414,San Diego,CA,92106-6172,3,2023.0,968733.0,969120.0,480101.0,
465183143,San Diego,CA,92166-0324,3,2023.0,759385.0,742220.0,930429.0,
922808547,San Diego,CA,92113-1109,3,,,,,
471425941,San Diego,CA,92129-3011,3,2024.0,169449.0,141870.0,103363.0,
383787597,San Diego,CA,92175-5473,3,2022.0,280931.0,275822.0,49732.0,
811777747,San Diego,CA,92101-3539,3,2023.0,298735.0,303012.0,82070.0,
953068100,San Diego,CA,92117,3,2015.0,229685.0,232536.0,5632.0,
471398771,San Diego,CA,92112-3054,3,2019.0,213022.0,299850.0,168781.0,
330860813,San Diego,CA,92165-5631,3,2024.0,73181.0,56893.0,268101.0,
833244841,San Diego,CA,92104-3510,3,2023.0,50473.0,40000.0,17257.0,
460817449,San Diego,CA,92116-3207,3,2015.0,63056.0,48812.0,15783.0,
862140003,San Diego,CA,92120-2705,3,2021.0,124737.0,53622.0,71115.0,
464354307,San Diego,CA,92174-0211,3,2023.0,16505.0,15688.0,14752.0,
462522536,San Diego,CA,92130-3728,3,2016.0,8797.0,12378.0,15112.0,
883005898,San Diego,CA,92120-1820,3,2023.0,1.0,0.0,33321.0,
330377908,San Diego,CA,92112,3,2014.0,25659.0,42206.0,3199.0,
871070537,San Diego,CA,92127-3422,3,,,,,
851186253,San Diego,CA,92116-2594,3,,,,,
832048834,San Diego,CA,92110-2757,3,,,,,
870820459,San Diego,CA,92111-2111,3,,,,,
474445188,San Diego,CA,92104-3324,3,2019.0,58677.0,34524.0,96300.0,
812850118,San Diego,CA,92131-3657,3,,,,,
882745357,San Diego,CA,92163-4495,3,,,,,
274607869,San Diego,CA,92163-3918,3,2014.0,49560.0,40091.0,105122.0,
832125308,San Diego,CA,92105-1504,3,,,,,
834204024,San Diego,CA,92101-7505,3,,,,,
800828986,San Diego,CA,92123-3329,3,,,,,
811554088,San Diego,CA,92127-3633,3,2016.0,4175.0,0.0,1.0,
821521195,San Diego,CA,92127-3707,3,2020.0,5205.0,21434.0,24725.0,
260320121,San Diego,CA,92131-2924,3,,,,,
923536947,San Diego,CA,92105-4652,3,,,,,
852188456,San Diego,CA,92117-5504,3,,,,,
992976517,San Diego,CA,92111-2510,3,,,,,
813610031,San Diego,CA,92193-1208,3,,,,,
463138369,San Diego,CA,92150-8042,3,,,,,
994931393,San Diego,CA,92103-1398,3,,,,,
332129675,San Diego,CA,92154-4709,3,,,,,
812687372,San Diego,CA,92126-4720,3,2017.0,59000.0,55297.0,3703.0,
332393540,San Diego,CA,92122-3904,3,,,,,
394994690,San Diego,CA,92110-4008,3,,,,,
814828007,San Diego,CA,92108-1661,3,,,,,
274607880,San Diego,CA,92101-8576,3,,,,,
394935248,San Diego,CA,92103-5534,3,,,,,
205305449,San Diego,CA,92104-4247,3,2022.0,70407.0,58755.0,45711.0,
201883660,San Diego,CA,92120-4305,3,,,,,
330929350,San Diego,CA,92121-2964,3,2023.0,33467839.0,34628471.0,58889593.0,
820839046,Encinitas,CA,92024-3558,3,2023.0,563068.0,437072.0,100024.0,
473951260,Lemon Grove,CA,91945-2401,3,2024.0,627446.0,644817.0,57973.0,
452499705,El Cajon,CA,92020-1637,3,2023.0,591486.0,872525.0,1247676.0,
853605057,Poway,CA,92064-4635,3,2023.0,53467.0,51668.0,1799.0,
871149047,Temecula,CA,92591-6967,3,2022.0,4032.0,3638.0,1002.0,
320600360,Carlsbad,CA,92009-8239,3,,,,,
201479064,Imperial Bch,CA,91932-2316,3,2023.0,101430.0,97890.0,44459.0,
851231784,San Ysidro,CA,92173-1537,3,,,,,
993947667,Carlsbad,CA,92008-7208,3,,,,,
993830450,La Mesa,CA,91942-6531,3,,,,,
844484937,Modesto,CA,95355-2801,3,,,,,
951816047,National City,CA,91950-3057,3,,,,,
952243016,San Jacinto,CA,92583-0000,3,,,,,
852909852,San Diego,CA,92114-1623,3,,,,,
952544535,San Diego,CA,92110-8001,3,2023.0,554548971.0,563765452.0,1767903401.0,
952942582,San Diego,CA,92106-6138,3,2023.0,268696192.0,159687256.0,1449190327.0,
951696732,San Diego,CA,92102-4508,3,2023.0,52941207.0,55018927.0,41102452.0,
952700856,San Diego,CA,92111-6342,3,2024.0,34223206.0,33529840.0,23115641.0,
