"account_key","account_status","date_account_creation","date_cert_expiration","date_cert_effective","business_owner_name","ownership_type","date_business_start","dba_name","naics_sector","naics_code","naics_description","address_no","address_pd","address_road","address_sfx","address_no_fraction","address_city","address_state","address_zip","address_suite","address_pmb_box","address_po_box","bid","council_district","lat","lng"
"1974000024.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","PARRON HALL CORP","CORP","1974-07-01 12:00:00","PARRON HALL","44","442","FURNITURE & HOME FURNISHINGS STORES","9655","","GRANITE RIDGE","DR","","SAN DIEGO","CA","92123-2697","100","","","","7.0","32.80628294","-117.12055320000002"
"1974000035.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","UNIV MECHANICAL & ENGINEERING CONTRACTORS INC","CORP","1974-07-01 12:00:00","UNIVERSITY MECHANICAL & ENGINEERING CONTRACTORS","23","23511","PLUMBING, HEATING & AC CONTRACTOR","1168","","FESLER","ST","","EL CAJON","CA","92020-1812","","","","","","32.80882692","-116.97701940000002"
"1974000039.0","Active","1974-07-01 12:00:00","2026-06-30 00:00:00","2025-07-01 00:00:00","ADMIRAL EXCHANGE CO INC","CORP","1974-07-01 12:00:00","ADMIRAL EXCHANGE CO INC","42","42199","OTHER MISCELLANEOUS DURABLE GOODS WHSLE","8981","","COMPLEX","DR","","SAN DIEGO","CA","92123-1405","","","","","","32.83071491","-117.13459740000002"
"1974000053.0","Active","1974-07-01 12:00:00","2026-06-30 00:00:00","2025-07-01 00:00:00","R W SMITH & CO INC","CORP","1974-07-01 12:00:00","R W SMITH & COMPANY","42","42199","OTHER MISCELLANEOUS DURABLE GOODS WHSLE","10101","","OLD GROVE","RD","","SAN DIEGO","CA","92131-1650","","","","","5.0","32.89890504","-117.1098259"
"1974000080.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","ALDERWOODS GROUP INC","CORP","1974-07-01 12:00:00","MERKLEY-MITCHELL MORTUARY #7055","81","81222","CEMETERIES & CREMATORIES","3838","","CAMINO DEL RIO NORTH","","","SAN DIEGO","CA","92108","103","","","","7.0","32.78049322","-117.11380619999998"
"1974000114.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","FOSHAY ELECTRIC CO INC","CORP","1974-07-01 12:00:00","FOSHAY ELECTRIC CO INC","23","23531","ELECTRICAL CONTRACTORS","950","","INDUSTRIAL","BLVD","","CHULA VISTA","CA","91911-1608","","","","","","32.614737957068","-117.089937041111"
"1974000123.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","VINYARD DOORS INC","CORP","1974-07-01 12:00:00","VINYARD DOORS INC","45","4539","OTHER MISCELLANEOUS STORE RETAILERS","3605","","PACIFIC","HWY","","SAN DIEGO","CA","92101-1144","","","","","2.0","32.73993878","-117.18277890000002"
"1974000127.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","LLOYD PEST CONTROL COMPANY INC","CORP","1974-07-01 12:00:00","LLOYD PEST CONTROL COMPANY INC","23","23599","ALL OTHER SPECIAL TRADE CONTRACTORS","935","","SHERMAN","ST","","SAN DIEGO","CA","92110-4016","","","","25.0","2.0","32.76399191","-117.200011"
"1974000137.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","JACKSON AND BLANC","CORP","1974-07-01 12:00:00","JACKSON & BLANC","23","23511","PLUMBING, HEATING & AC CONTRACTOR","7929","","ARJONS","DR","","SAN DIEGO","CA","92126-4301","","","","","6.0","32.89438049","-117.1483108"
"1974000143.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","SCRIPPS / MERCY HOSPITAL","CORP","1974-07-01 12:00:00","SCRIPPS/MERCY HOSPITAL","81","8134","CIVIC & SOCIAL ORGANIZATIONS","4077","","05TH","AVE","","SAN DIEGO","CA","92103-2105","MER22","","","18.0","","32.75129459","-117.1610861"
"1974000155.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","SAN DIEGO YACHT CLUB","CORP","1974-07-01 12:00:00","SAN DIEGO YACHT CLUB","44","445299","ALL OTHER SPECIALTY FOOD STORES","1011","","ANCHORAGE","LN","","SAN DIEGO","CA","92106-3005","","","","","2.0","32.71913809","-117.2307747"
"1974000160.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","WALTER ANDERSEN'S ENTERPRISE INC","CORP","1974-07-01 12:00:00","WALTER ANDERSEN'S ENTERPRISE INC","44","4442","LAWN & GARDEN EQUIP & SUPPLIES STORES","3642","","ENTERPRISE","ST","","SAN DIEGO","CA","92110-3212","","","","27.0","2.0","32.74640434","-117.1983369"
"1974000161.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","FROST HARDWOOD LUMBER CO","CORP","1974-07-01 12:00:00","FROST HARDWOOD LUMBER CO","42","4213","LUMBER & OTHER CONSTRUCTION MATERIALS WHSLE","6565","","MIRAMAR","RD","","SAN DIEGO","CA","92121-2506","","","","","6.0","32.8778171","-117.173254"
"1974000162.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","WESTERN ENVIRONMENTAL SYSTEMS CO","CORP","1974-07-01 12:00:00","WESTERN ENVIRONMENTAL SYSTEMS CO","23","23511","PLUMBING, HEATING & AC CONTRACTOR","3411","","E","ST","","SAN DIEGO","CA","92102-3335","","","","","8.0","32.71440032","-117.1207093"
"1974000168.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","SAN DIEGO MODERN FURNITURE COMPANY INC","CORP","1974-07-01 12:00:00","LAWRANCE","44","442","FURNITURE & HOME FURNISHINGS STORES","633","","UNIVERSITY","AVE","","SAN DIEGO","CA","92103-3212","","","","18.0","3.0","32.7482965","-117.1591404"
"1974000193.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","WAXIE SANITARY SUPPLY","CORP","1974-07-01 12:00:00","WAXIE SANITARY SUPPLY","45","45299","ALL OTHER GENERAL MERCHANDISE STORES","9353","","WAXIE","WAY","","SAN DIEGO","CA","92123-1036","","","","","6.0","32.83974213","-117.1274152"
"1974000210.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","SAN DIEGO HARDWARE CO","CORP","1974-07-01 12:00:00","SAN DIEGO HARDWARE CO","44","44413","HARDWARE STORES","5710","","KEARNY VILLA","RD","","SAN DIEGO","CA","92123-1100","A","","","","6.0","32.838099199999995","-117.1346838"
"1974000226.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","CALIFORNIA SHEET METAL WORKS INC","CORP","1974-07-01 12:00:00","CALIFORNIA SHEET METAL WORKS INC","23","2356","ROOFING, SIDING, & SHEET METAL CONTRACTORS","1020","N","MARSHALL","AVE","","EL CAJON","CA","92020-1829","","","","","","32.80917292","-116.9757068"
"1974000228.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","A O REED & COMPANY","CORP","1974-07-01 12:00:00","A O REED & COMPANY","23","23511","PLUMBING, HEATING & AC CONTRACTOR","4777","","RUFFNER","ST","","SAN DIEGO","CA","92111-1519","","","","","6.0","32.82857471","-117.1583105"
"1974000262.0","Active","1974-07-01 12:00:00","2026-06-30 12:00:00","2025-07-01 12:00:00","SMITH BROTHERS MFG CORP","CORP","1974-07-01 12:00:00","SMITH BROTHERS INC","33","339","MISCELLANEOUS MFG","5304","","BANKS","ST","","SAN DIEGO","CA","92110-4008","","","","25.0","2.0","32.76445957","-117.19955520000002"
