"name","address","zip_code","type","irs_name","asset_amt","revenue_amt","administrator","phonenumber","mission_aligned"
"Miracosta College - Oceanside Campus","1 Barnard Dr","92056.0","HigherEducationFacility","MIRA COSTA COLLEGE FOUNDATION",23343533.0,2830726.0,NULL,NULL,0
"Santa Margarita","1 Carnes Road","92058.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",0.0,0.0,NULL,NULL,0
"SAN MARCOS UNIFIED DISTRICT OFFICE","1 Civic Center Drive","92069.0","GovernmentFacility","SAN MARCOS COMMUNITY FOUNDATION",1407850.0,79939.0,NULL,NULL,0
"Legoland California","1 Legoland Dr","92008.0","MajorEmployer","MERLINS MAGIC WAND FOUNDATION",1032812.0,398879.0,NULL,NULL,0
"La Costa Canyon","1 Maverick Way","92009.0","School","LA COSTA CANYON HIGH SCHOOL FOUNDATION INC",1105044.0,1474899.0,NULL,NULL,0
"Boys and Girls Club","1 Positive Pl","92069.0","CommunityCenter","BOYS & GIRLS CLUB OF SAN MARCOS",5620441.0,5631170.0,NULL,NULL,1
"San Marcos","1 Tiger Way","92069.0","School","SAN MARCOS ELEMENTARY PTO",36773.0,62663.0,NULL,NULL,0
"EL CAJON FIRE DEPT  ","100 E Lexington Ave",NULL,"PUBLIC AGENCY","EL CAJON PROFESSIONAL FIREFIGHTERS FOUNDATION",0.0,0.0,NULL,NULL,0
"COLLIER SHERRY MFT DBA COLLIER CENTER FOR CREATIVE THERAPY","100 E San Marcos Blvd",NULL,"MISC PROFESSIONAL","DORIS A HOWELL FOUNDATION FOR WOMENS HEALTH RESEARCH INC",376150.0,182538.0,NULL,NULL,0
"Petco Park","100 Park Blvd","92101.0","RecreationalFacility","PADRES FOUNDATION",9216556.0,4440958.0,NULL,NULL,0
"Stuart Mesa","100 Yamanaka Way","92058.0","School","STUART MESA ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION",9662.0,29587.0,NULL,NULL,0
"VISTA COMMUNITY CLINIC","1000 Vale Terrace Dr","92084.0","Community Clinic","VISTA COMMUNITY CLINIC",123380232.0,128762405.0,NULL,NULL,1
"Turning Point for God","10007 Riverford Rd","92040.0","ReligiousStructure_C","TURNING POINT MINISTRIES FOUNDATION",629169.0,-33866.0,NULL,NULL,0
"SALK INSTITUTE FOR BIOLOGICAL STUDIES SAN DIEGO CA ","10010 N Torrey Pines Rd",NULL,"MISCELLANEOUS ASSOC","SALK INSTITUTE FOR BIOLOGICAL STUDIES",822778011.0,161166470.0,"C/O ACCOUNTING",NULL,0
"PALOMAR FAMILY COUNSELING SERVICES INC ","1002 E Grand Ave",NULL,"MISCELLANEOUS ASSOC","PALOMAR FAMILY COUNSELING SERVICE INC",2821293.0,5690320.0,NULL,NULL,0
"GASPAR PHYSICAL THERAPY APC GASPAR DOCTORS OF PHYSICAL THERAPY","1004 N El Camino Real",NULL,"DOCTOR/OSTEOPA/CHIRO","INDEPENDENT PHYSICAL THERAPISTS OF CALIFORNIA",13747.0,35200.0,NULL,NULL,0
