,source_file,ein,org_name,org_type,website,phone,tax_year,address_line1,city,state,zip,county,full_address,rev_cy,assets_eoy,principal_name,all_emails,general_emails,misc_staff_emails,website_contact_form,linkedin,instagram,facebook
0,XML/202520639349300932_public.xml,920731572,1904 Baseball Club,San Diego Nonprofit,1904baseballclub.com,6196185400,2025,11125 Crater Dr,San Diego,CA,92126,San Diego County,"11125 Crater Dr, San Diego, CA, 92126",270852.0,19136.0,Allan Pena,sd1904baseball@gmail.com,,sd1904baseball@gmail.com,https://1904baseballclub.com/contact/ ,,,
1,XML/202511769349301316_public.xml,455009704,2020 Mom,California Nonprofit ,http://www.2020mom.org/,3109551081,2025,5101 Santa Monica Blvd Ste 8-326,Los Angeles,CA,90029,Los Angeles County,"5101 Santa Monica Blvd Ste 8-326, Los Angeles, CA, 90029",1272999.0,1237409.0,Joy Burkhard,Kelly.Nielson@PolicyCenterMMH.org,,Kelly.Nielson@PolicyCenterMMH.org,https://policycentermmh.org/contact/ ,https://www.linkedin.com/company/policycentermmh/,,
2,,,211 San Diego,California Nonprofit ,http://www.211sandiego.org/,211,,3860 Calle Fortunado Suite 101 ,San Diego,CA,,San Diego County,"3860 Calle Fortunado Suite 101 , San Diego, CA",,,Nan,"211help@211sandiego.org, media@211sandiego.org, resourcecenter@211sandiego.org, 211connections@211sandiego.org",info@211sandiego.org,"211help@211sandiego.org, media@211sandiego.org, resourcecenter@211sandiego.org, 211connections@211sandiego.org",https://211sandiego.org/contacts/ ,https://www.linkedin.com/company/211sandiego,https://www.instagram.com/211sd,https://www.facebook.com/211sandiego/
3,XML/202501689349301205_public.xml,464603670,450 Mhz Alliance,San Diego Nonprofit,450ALLIANCE.ORG,8587057760,2025,11164 Provencial Pl,San Diego,CA,92128,San Diego County,"11164 Provencial Pl, San Diego, CA, 92128",357310.0,302069.0,Nan,"gosta.kallner@450alliance.org, dennis@450alliance.org, daan.beaufort@450alliance.org, Christian.Freudenmann@450alliance.org, ivirker@450alliance.org, Carsten.Ullrich@450alliance.org",info@450alliance.org,"gosta.kallner@450alliance.org, dennis@450alliance.org, daan.beaufort@450alliance.org, Christian.Freudenmann@450alliance.org, ivirker@450alliance.org, Carsten.Ullrich@450alliance.org",https://450alliance.org/contact-us/ ,,,
4,,,4Paws,California Nonprofit ,http://www.4pawscenter.org/,,,2 Padre Parkway Suite 201B ,Rohnert Park,CA,,Sonoma County,"2 Padre Parkway Suite 201B , Rohnert Park, CA",,,Nan,4pawsoffice@gmail.com,,4pawsoffice@gmail.com,,,,https://www.facebook.com/caninesocialtherapy/
5,XML/202530979349300213_public.xml,202233784,4S Ranch Youth Soccer Association,San Diego Nonprofit,sdforcefc.com,,2025,10531 4S Commons Drive 130,San Diego,CA,92127,San Diego County,"10531 4S Commons Drive 130, San Diego, CA, 92127",2400324.0,1414004.0,Ryan Heine President,support@sprocketsports.com,,support@sprocketsports.com,https://sdforcefc.com/club/contactus ,,https://www.instagram.com/sdforcefc/,https://www.facebook.com/SDForceFC
6,XML/202511179349200306_public.xml,921434342,4Th Trimester,California Nonprofit ,http://4thtri.org/,3522672002,2025,98 Hillside Dr,Eustis,FL,32726,,"98 Hillside Dr, Eustis, FL, 32726",,,Nan,media@4thtri.org,hello@4thtri.org,media@4thtri.org,https://4thtri.org/contact/ ,https://www.linkedin.com/company/4thtrimester,https://www.instagram.com/4thtrimester_org,
7,XML/202542949349301574_public.xml,862230353,805 Undocufund,California Nonprofit ,https://www.805undocufund.org/,8052008471,2025,1010 North H Street Ste 40,Lompoc,CA,93436,Santa Barbara County,"1010 North H Street Ste 40, Lompoc, CA, 93436",293304.0,189145.0,Primitiva Hernandez,phernandez@805undocufund.org,executivedirector@805undocufund.org,phernandez@805undocufund.org,https://www.805undocufund.org/contact-us.html ,https://www.linkedin.com/company/19128208/admin/dashboard/,https://www.instagram.com/the805undocufund/,https://www.facebook.com/805undocufund
8,XML/202511759349301666_public.xml,510197097,Access To Independence Of San Diego Inc,San Diego Nonprofit,WWW.ACCESSTOINDEPENDENCE.ORG,6192933500,2025,8885 Rio San Diego Dr 135,San Diego,CA,92108,San Diego County,"8885 Rio San Diego Dr 135, San Diego, CA, 92108",2110931.0,2124670.0,Jhoonar Barrera,accessmedia@accesstoindependence.org,,accessmedia@accesstoindependence.org,https://accesstoindependence.org/contact-us/ ,,https://www.instagram.com/accessstoindependence/,https://www.facebook.com/accesstoindependence
9,XML/202502469349302055_public.xml,330620415,Accessity,San Diego Nonprofit,www.accessity.org,6197957250,2025,404 Euclid Avenue Ste 271,San Diego,CA,92114,San Diego County,"404 Euclid Avenue Ste 271, San Diego, CA, 92114",8466640.0,23530909.0,Nan,"//csanchez@accessity.org, //mmejia@accessity.org, //fcruz@accessity.org, //lurisa@accessity.org, lurias@accessity.org, news@accessity.org, //servicing@accessity.org , fcruz@accessity.org, //mbaquero@accessity.org, mmejia@accessity.org, //scarlson@accessity.org, csanchez@accessity.org","info@accessity.org, //info@accessity.org","//csanchez@accessity.org, //mmejia@accessity.org, //fcruz@accessity.org, //lurisa@accessity.org, lurias@accessity.org, news@accessity.org, //servicing@accessity.org , fcruz@accessity.org, //mbaquero@accessity.org, mmejia@accessity.org, //scarlson@accessity.org, csanchez@accessity.org",https://accessity.org/contact/ ,https://www.linkedin.com/company/accessityorg/,https://www.instagram.com/accessityorg,https://www.facebook.com/accessityorg
